openresolv 3.9.0-2
openssh 8.0p1-1
openssl 1.1.1.c-1
openssl-1.0 1.0.2.s-1
opus 1.3.1-1
orc 0.4.29-1
oxy-neon 0-2
p11-kit 0.23.16.1-1
pacman 5.1.3-1
pacman-contrib 1.1.0-1
pacman-mirrorlist 20190614-1
pacutils 0.7.0-1
pam 1.3.1-1
pamac-aur 7.4.0-1
pambase 20190105.1-1
pango 1:1.43.0-2
pangomm 2.42.0-1
parted 3.2-9
patch 2.7.6-7
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
peek 1.3.1-3
perl 5.30.0-2
perl-alien-build 1.74-3
perl-alien-libxml2 0.09-2
perl-capture-tiny 0.48-2
perl-checkupdates-aur 0.04-1
perl-clone 0.41-3
perl-data-dump 1.23-5
perl-dbi 1.642-3
perl-encode-locale 1.05-5
perl-error 0.17027-2
perl-ffi-checklib 0.24-2
perl-file-chdir 0.1011-3
perl-file-listing 6.04-6
perl-file-which 1.23-2
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.04-4
perl-http-daemon 6.01-7
perl-http-date 6.02-6
perl-http-message 6.18-3
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-io-socket-ssl 2.060-2
perl-json 2.97001-1
perl-libwww 6.39-2
perl-log-message 0.08-5
perl-log-message-simple 0.10-5
perl-lwp-mediatypes 6.02-6
perl-lwp-protocol-https 6.07-3
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-net-ssleay 1.85-4
perl-path-tiny 0.108-2
perl-term-readline-gnu 1.36-3
perl-term-ui 0.46-5
perl-timedate 2.30-6
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-aur 0.22-3
perl-www-robotrules 6.02-6
perl-xml-libxml 2.0201-2
perl-xml-namespacesupport 1.12-3
perl-xml-parser 2.44-9
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-3
pinentry 1.1.0-4
pipewire 0.2.6+1+g37613b67-1
pixman 0.38.4-1
pkgconf 1.6.1-1
playerctl 2.0.2-2
polkit 0.116-1
polkit-gnome 0.105-4
polybar 3.3.1-1
poppler 0.76.1-1
poppler-data 0.4.9-1
poppler-glib 0.76.1-1
popt 1.16-10
portaudio 1:19.6.0-5
potrace 1.15-1
pragha 1.3.4-2
procps-ng 3.3.15-1
protobuf 3.7.0-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pygobject-devel 3.32.1-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.3-1
python-anytree 2.6.0-2
python-appdirs 1.4.3-2
python-beaker 1.10.1-1
python-beautifulsoup4 4.7.1-1
python-cairo 1.18.1-1
python-chardet 3.0.4-2
python-configobj 5.0.6-4
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-gobject 3.32.1-1
python-httplib2 0.12.3-1
python-idna 2.8-1
python-lxml 4.3.4-1
python-mako 1.0.12-1
python-markdown 3.1.1-2
python-markupsafe 1.1.1-1
python-packaging 19.0-1
python-pexpect 4.7.0-1
python-pillow 6.0.0-1
python-psutil 5.6.3-1
python-ptyprocess 0.6.0-2
python-pycups 1.9.74-1
python-pycurl 7.43.0.2-2
python-pygments 2.4.2-1
python-pyparsing 2.4.0-1
python-pywal 3.3.0-1
python-requests 2.22.0-1
python-setuptools 1:41.0.1-1
python-six 1.12.0-1
python-soupsieve 1.9.1-2
python-urllib3 1.25.3-1
python-xdg 0.26-2
python2 2.7.16-1
python2-cairo 1.18.1-1
python2-dbus 1.2.8-2
python2-gobject 3.32.1-1
python2-gobject2 2.28.7-2
python2-lxml 4.3.4-1
python2-notify 0.1.1-14
python2-pillow 6.0.0-1
python2-psutil 5.6.3-1
python2-pyparted 3.11.1-1
python2-xapp 1.6.0-1
python2-xdg 0.26-2
qbittorrent 4.1.6-1
qmltermwidget 0.2.0-1
qpdf 8.4.2-1
qt5-base 5.12.3-2
qt5-declarative 5.12.3-2
qt5-graphicaleffects 5.12.3-1
qt5-quickcontrols 5.12.3-1
qt5-svg 5.12.3-1
qt5-x11extras 5.12.3-1
qt5ct 0.39-1
quazip 0.8.1-1
radiotray 0.7.3-14
raptor 2.0.15-11
re2 20190601-1
readline 8.0.0-1
reiserfsprogs 3.6.27-2
rest 0.8.1-1
ristretto 0.8.4-1
rofi 1.5.2-1
rsync 3.1.3-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-4
rubberband 1.8.2-1
run-parts 4.8.6.1-1
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
s-nail 14.9.13-2
sane 1.0.27-2
